Accident_ID,Year,Month,Day,HHMM,Lum,Localization,Type_of_Intersection,ATM_Conditions,Type_of_Colision,Postal_Adress,GPS_Coding,Deparment,Latitud/Longitud
201700000234,17,1,27,1015,1,1,9,8,3,,M,600,"49.31443,2.33453"
201700000235,17,2,6,1000,1,1,9,1,3,,M,600,"49.32064,2.32936"
201700000236,17,6,16,1545,1,2,1,1,2,rue Eugène Moreau,M,600,"49.31424,2.31659"
201700000237,17,10,12,2230,3,1,1,1,7,,M,600,"49.35718,2.25023"
201700000238,17,11,16,800,2,2,1,8,3,route de clermont,M,600,"49.33328,2.33603"
201700000239,17,11,16,1445,1,1,1,1,1,,M,600,"49.29313,2.35379"
201700000240,17,11,24,1515,2,2,1,1,6,RUE DE MEHECOURT,M,600,"49.3545,2.24925"
201700000241,17,12,1,1745,3,1,1,9,7,,M,600,"49.31023,2.31826"
201700000242,17,12,13,1545,1,1,1,1,6,,M,600,"49.3081,2.31066"
201700000243,17,2,6,2000,3,1,1,6,5,,M,600,"49.51773,2.41772"
201700000244,17,2,27,1415,1,2,1,1,7,Rue de la Gare,M,600,"49.59145,2.53179"
201700000245,17,5,27,1745,1,2,1,1,7,Rue de Montdidier,M,600,"49.46147,2.48461"
201700000246,17,11,8,2000,3,1,1,1,1,,M,600,"49.46117,2.47615"
201700000247,17,3,3,1600,1,1,1,1,1,,M,600,"49.52285,2.93544"
201700000248,17,7,23,1015,1,1,1,1,2,,M,600,"49.53483,3.01587"
201700000249,17,10,13,1930,5,2,1,2,3,rue nationale,M,600,"49.49764,2.89809"
201700000250,17,11,30,1730,2,1,1,1,4,,M,600,"49.49445,2.85736"
201700000251,17,1,15,1230,1,1,1,1,4,,M,600,"49.3244,2.70079"
201700000252,17,1,16,1900,3,1,1,1,1,,M,600,"49.3592,2.96671"
201700000253,17,3,1,815,1,1,1,1,6,,M,600,"49.35635,2.87522"
201700000254,17,3,4,1830,2,1,2,2,5,,M,600,"49.35216,2.87901"
201700000255,17,5,18,1215,1,1,1,1,3,,M,600,"49.32198,2.71821"
201700000256,17,6,3,1915,2,2,1,1,7,26 Rue de la République,M,600,"49.36183,2.74906"
201700000257,17,6,11,2100,2,1,1,3,6,,M,600,"49.35336,2.87801"
201700000258,17,6,22,1000,1,2,1,1,1,rue du Général de gaulle,M,600,"49.3545,2.76201"
201700000259,17,6,28,2030,1,2,1,1,6,Rue Jean Lenoir,M,600,"49.34964,2.97967"
201700000260,17,7,1,1630,1,1,1,1,1,,M,600,"49.34908,2.88912"
201700000261,17,11,10,1730,3,1,1,2,1,,M,600,"49.3358,2.98864"
201700000262,17,1,9,1715,2,1,1,1,7,,M,600,"49.47492,2.7912"
201700000263,17,1,11,1415,1,1,1,1,3,,M,600,"49.40918,2.649"
201700000264,17,1,28,1500,2,1,1,1,1,,M,600,"49.46477,2.81096"
201700000265,17,4,12,915,1,1,1,1,6,,M,600,"49.42632,2.69145"
201700000266,17,8,9,1300,1,1,1,1,6,,M,600,"49.58995,2.71641"
201700000267,17,9,5,1100,1,1,1,8,3,,M,600,"49.37754,2.71113"
201700000268,17,9,5,815,1,1,1,8,1,,M,600,"49.51483,2.68826"
201700000269,17,9,10,1800,1,1,1,1,6,,M,600,"49.59959,2.67456"
201700000270,17,9,25,145,3,1,1,1,3,,M,600,"49.46427,2.76059"
201700000271,17,11,14,1800,3,1,9,1,1,,M,600,"49.40322,2.67595"
201700000272,17,11,21,645,2,1,1,1,1,,M,600,"49.45321,2.65298"
201700000273,17,11,25,1915,3,1,1,1,1,,M,600,"49.4499,2.78733"
201700000274,17,2,13,1400,2,1,1,2,2,,M,600,"49.5722,3.02945"
201700000275,17,4,4,115,3,2,1,2,6,12 rue de Nesle,M,600,"49.66047,2.91217"
201700000276,17,5,8,345,3,1,1,1,7,,M,600,"49.67747,2.99908"
201700000277,17,5,10,1415,1,1,1,2,7,,M,600,"49.64362,2.94538"
201700000278,17,5,28,1430,1,1,1,1,3,,M,600,"49.59079,3.10837"
201700000279,17,6,6,600,2,1,1,5,6,,M,600,"49.60661,3.01628"
201700000280,17,9,20,2145,5,2,1,1,6,rue de Paris,M,600,"49.7009,3.06255"
201700000281,17,4,10,1230,1,2,1,1,7,20 rue du golf,M,570,"49.4919,6.23834"
201700000282,17,5,15,2345,3,2,1,1,6,rue du fort,M,570,"49.41515,6.12031"
201700000283,17,10,8,1650,1,2,1,1,6,35 rue du Gal Patton,M,570,"49.40458,6.15672"
201700000284,17,12,27,1830,5,2,1,1,6,28 rue charles de gaulle,M,570,"49.40543,6.15256"
201700000285,17,1,16,1830,3,1,1,8,1,,M,600,"49.22127,2.56745"
201700000286,17,2,5,1900,3,1,1,1,6,,M,600,"49.19516,2.63286"
201700000287,17,2,12,1030,1,1,1,2,3,,M,600,"49.18469,2.64103"
201700000288,17,2,21,1000,1,1,1,1,1,,M,600,"49.24336,2.58496"
201700000289,17,3,13,1000,1,1,3,1,1,,M,600,"49.20812,2.57061"
201700000290,17,6,28,730,1,1,1,1,5,,M,600,"49.22538,2.58406"
201700000291,17,7,24,830,1,1,1,7,1,,M,600,"49.22543,2.58268"
201700000292,17,9,5,1530,1,1,1,2,5,,M,600,"49.21387,2.60401"
201700000293,17,2,10,1645,1,1,1,8,4,,M,600,"49.1784,2.23413"
201700000294,17,3,3,845,1,2,1,2,6,Rue de Lambervalle,M,600,"49.20173,2.27096"
201700000295,17,4,6,1600,1,2,1,1,6,rue de vigneseuil,M,600,"49.16904,2.23912"
201700000296,17,6,6,1700,1,2,1,1,1,Place Carnot,M,600,"49.16451,2.24044"
201700000297,17,6,18,2100,1,2,1,1,7,route de vigneseuil,M,600,"49.1691,2.23933"
201700000298,17,6,26,1745,1,1,1,1,3,,M,600,"49.19858,2.25972"
201700000299,17,7,31,1900,1,1,1,1,6,,M,600,"49.1901,2.25327"
201700000300,17,8,3,1415,1,1,1,1,3,,M,600,"49.17948,2.23702"
201700000301,17,9,23,1630,1,1,1,1,4,,M,600,"49.18242,2.25052"
201700000302,17,10,4,1845,1,2,1,1,3,rue de la libération,M,600,"49.175,2.28725"
201700000303,17,10,13,1630,1,2,1,1,1,rue d'anserville,M,600,"49.22831,2.23853"
201700000304,17,12,7,2030,3,1,1,9,1,,M,600,"49.18293,2.21625"
201700000305,17,12,14,1445,1,2,1,1,1,,M,600,"49.15638,2.24432"
201700000306,17,12,26,1115,1,1,1,1,3,,M,600,"49.19816,2.28214"
201700000307,17,2,19,1715,1,2,9,2,1,avenue de gouvieux,M,600,"49.17606,2.40691"
